Molecular Weight,C,Compositions,dHex,Hex,HexNAc,NeuAc,GalNAcS,GalS,GlcNAcP,GlcNAcS,NeuGc,Kdn,Fuc,Xyl,NeuAcAc,Water,Adduct/Replacement,Adduct Amount,Peptide Sequence,Peptide Modification,Peptide Missed Cleavage Number,Number of Glycan Attachment to Peptide,Start AA,End AA
2882.0466697887005,0,[0;8;7;0;0;0;0;0;0;0;1;0;0;1],0,8,7,0,0,0,0,0,0,0,1,0,0,1,/0,0,,,0,0,0,0
1543.5090740986996,0,[0;3;3;0;1;0;0;0;0;0;1;0;0;1],0,3,3,0,1,0,0,0,0,0,1,0,0,1,/0,0,,,0,0,0,0
1640.5921726036997,0,[0;5;4;0;0;0;0;0;0;0;0;0;0;1],0,5,4,0,0,0,0,0,0,0,0,0,0,1,/0,0,,,0,0,0,0
2882.0466697887005,0,[0;8;7;0;0;0;0;0;0;0;1;0;0;1],0,8,7,0,0,0,0,0,0,0,1,0,0,1,/0,0,,,0,0,0,0
2589.9560041887007,0,[0;6;5;0;0;0;0;0;0;0;4;0;0;1],0,6,5,0,0,0,0,0,0,0,4,0,0,1,/0,0,,,0,0,0,0
1681.6187217087,0,[0;4;5;0;0;0;0;0;0;0;0;0;0;1],0,4,5,0,0,0,0,0,0,0,0,0,0,1,/0,0,,,0,0,0,0
3681.296140223701,0,[0;7;6;4;0;0;0;0;0;0;1;0;0;1],0,7,6,4,0,0,0,0,0,0,1,0,0,1,/0,0,,,0,0,0,0
1640.5921726037,0,[0;5;4;0;0;0;0;0;0;0;0;0;0;1],0,5,4,0,0,0,0,0,0,0,0,0,0,1,/0,0,,,0,0,0,0
2879.0106186137004,0,[0;6;5;3;0;0;0;0;0;0;0;0;0;1],0,6,5,3,0,0,0,0,0,0,0,0,0,1,/0,0,,,0,0,0,0
2128.8040160237,0,[0;3;8;0;0;0;0;0;0;0;0;0;0;1],0,3,8,0,0,0,0,0,0,0,0,0,0,1,/0,0,,,0,0,0,0
3101.146109163701,0,[0;7;6;0;0;0;0;0;0;0;5;0;0;1],0,7,6,0,0,0,0,0,0,0,5,0,0,1,/0,0,,,0,0,0,0
2297.8401864487005,0,[0;6;5;0;0;0;0;0;0;0;2;0;0;1],0,6,5,0,0,0,0,0,0,0,2,0,0,1,/0,0,,,0,0,0,0
2879.0106186137004,0,[0;6;5;3;0;0;0;0;0;0;0;0;0;1],0,6,5,3,0,0,0,0,0,0,0,0,0,1,/0,0,,,0,0,0,0
1769.6347657387,0,[0;4;4;1;0;0;0;0;0;0;0;0;0;1],0,4,4,1,0,0,0,0,0,0,0,0,0,1,/0,0,,,0,0,0,0
3228.147900088701,0,[0;6;6;3;0;0;0;0;0;0;1;0;0;1],0,6,6,3,0,0,0,0,0,0,1,0,0,1,/0,0,,,0,0,0,0
3025.068527483701,0,[0;6;5;3;0;0;0;0;0;0;1;0;0;1],0,6,5,3,0,0,0,0,0,0,1,0,0,1,/0,0,,,0,0,0,0
3390.2007235887013,0,[0;7;6;3;0;0;0;0;0;0;1;0;0;1],0,7,6,3,0,0,0,0,0,0,1,0,0,1,/0,0,,,0,0,0,0
3025.068527483701,0,[0;6;5;3;0;0;0;0;0;0;1;0;0;1],0,6,5,3,0,0,0,0,0,0,1,0,0,1,/0,0,,,0,0,0,0
1712.6133020037,0,[0;4;3;1;0;0;0;0;0;0;1;0;0;1],0,4,3,1,0,0,0,0,0,0,1,0,0,1,/0,0,,,0,0,0,0
1890.6610401337,0,[0;6;3;1;0;0;0;0;0;0;0;0;0;1],0,6,3,1,0,0,0,0,0,0,0,0,0,1,/0,0,,,0,0,0,0
2036.7189490037,0,[0;6;3;1;0;0;0;0;0;0;1;0;0;1],0,6,3,1,0,0,0,0,0,0,1,0,0,1,/0,0,,,0,0,0,0
1681.6187217087,0,[0;4;5;0;0;0;0;0;0;0;0;0;0;1],0,4,5,0,0,0,0,0,0,0,0,0,0,1,/0,0,,,0,0,0,0
1843.6715452086999,0,[0;5;5;0;0;0;0;0;0;0;0;0;0;1],0,5,5,0,0,0,0,0,0,0,0,0,0,1,/0,0,,,0,0,0,0
1259.4650618686999,0,[0;3;3;0;0;0;0;0;0;0;1;0;0;1],0,3,3,0,0,0,0,0,0,0,1,0,0,1,/0,0,,,0,0,0,0
1519.5658982086995,0,[0;3;5;0;0;0;0;0;0;0;0;0;0;1],0,3,5,0,0,0,0,0,0,0,0,0,0,1,/0,0,,,0,0,0,0
1681.6187217086997,0,[0;4;5;0;0;0;0;0;0;0;0;0;0;1],0,4,5,0,0,0,0,0,0,0,0,0,0,1,/0,0,,,0,0,0,0
1234.4334273936995,0,[0;5;2;0;0;0;0;0;0;0;0;0;0;1],0,5,2,0,0,0,0,0,0,0,0,0,0,1,/0,0,,,0,0,0,0
1072.3806038936998,0,[0;4;2;0;0;0;0;0;0;0;0;0;0;1],0,4,2,0,0,0,0,0,0,0,0,0,0,1,/0,0,,,0,0,0,0
1234.4334273936995,0,[0;5;2;0;0;0;0;0;0;0;0;0;0;1],0,5,2,0,0,0,0,0,0,0,0,0,0,1,/0,0,,,0,0,0,0
1396.4862508936997,0,[0;6;2;0;0;0;0;0;0;0;0;0;0;1],0,6,2,0,0,0,0,0,0,0,0,0,0,1,/0,0,,,0,0,0,0
1234.4334273936995,0,[0;5;2;0;0;0;0;0;0;0;0;0;0;1],0,5,2,0,0,0,0,0,0,0,0,0,0,1,/0,0,,,0,0,0,0
1421.5178853686996,0,[0;4;3;0;0;0;0;0;0;0;1;0;0;1],0,4,3,0,0,0,0,0,0,0,1,0,0,1,/0,0,,,0,0,0,0
1405.5229707386995,0,[0;3;3;0;0;0;0;0;0;0;2;0;0;1],0,3,3,0,0,0,0,0,0,0,2,0,0,1,/0,0,,,0,0,0,0
2192.8088266837,0,[0;5;6;0;0;0;0;0;0;0;1;0;0;1],0,5,6,0,0,0,0,0,0,0,1,0,0,1,/0,0,,,0,0,0,0
2239.7983216087,0,[0;6;4;1;0;0;0;0;0;0;1;0;0;1],0,6,4,1,0,0,0,0,0,0,1,0,0,1,/0,0,,,0,0,0,0
2077.7454981087,0,[0;5;4;1;0;0;0;0;0;0;1;0;0;1],0,5,4,1,0,0,0,0,0,0,1,0,0,1,/0,0,,,0,0,0,0
2110.7557284737,0,[0;7;4;0;0;0;0;0;0;0;1;0;0;1],0,7,4,0,0,0,0,0,0,0,1,0,0,1,/0,0,,,0,0,0,0
1948.7029049737,0,[0;6;4;0;0;0;0;0;0;0;1;0;0;1],0,6,4,0,0,0,0,0,0,0,1,0,0,1,/0,0,,,0,0,0,0
